Date,Open,High,Low,Close,Adj Close,Volume
11/1/2016,17.200001,20.440001,16.450001,19.530001,19.530001,537889100
12/1/2016,19.700001,23.639999,18.18,21.92,21.92,631585800
1/1/2017,22.07,24.24,21.49,24.110001,24.110001,446792700
2/1/2017,24.43,25.309999,22.639999,23.440001,23.440001,485701900
3/1/2017,24.16,29.870001,24.07,28.9,28.9,728136900
4/1/2017,28.950001,29.040001,26.360001,27.67,27.67,460534300
5/1/2017,27.85,31.1,26.959999,30.77,30.77,509074400
6/1/2017,30.75,32.959999,29.209999,29.860001,29.860001,772196700
7/1/2017,30.09,32.349998,27.870001,28.120001,28.120001,562390400
8/1/2017,28.219999,32.02,26.85,31.969999,31.969999,543420400
9/1/2017,32.130001,39.360001,31.65,39.330002,39.330002,731278700
10/1/2017,39.599998,44.57,38.810001,44.310001,44.310001,834077600
11/1/2017,44.790001,49.889999,41.860001,42.389999,42.389999,695153200
12/1/2017,41.73,46.799999,39.07,41.119999,41.119999,895064700
1/1/2018,41.540001,46.98,41.189999,43.720001,43.720001,830947100
2/1/2018,43.040001,49.459999,37.52,48.810001,48.810001,831358900
3/1/2018,48.77,63.419998,45.950001,52.139999,52.139999,1549894000
4/1/2018,51.540001,54.27,45.32,45.98,45.98,1075226000
5/1/2018,45.59,64.660004,45.330002,57.59,57.59,1157954500
6/1/2018,58.810001,62.549999,51.790001,52.439999,52.439999,1033686700
7/1/2018,51.52,58.150002,50.099998,52.790001,52.790001,730418300
8/1/2018,52.66,53.68,45.619999,52.52,52.52,695704700
9/1/2018,52.139999,52.299999,40.68,45.23,45.23,880109200
10/1/2018,45.439999,46.689999,41.32,42.470001,42.470001,347025400
10/12/2018,43.580002,43.75,41.919998,42.470001,42.470001,30201447
